target,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40
1.0,-0.32072758,0.6654842,-0.41339483,-0.2195674,0.52488248,0.64912144,0.89948507,1.2958607,-0.1891692,-0.882168,-0.56318548,-0.35152647,-2.0068183,-0.083709045,0.22905814,1.6842361,0.21063143,-1.0761062,-1.2579685,-1.2412075,-0.44405259,-0.16616792,0.67951669,1.790945,1.2055305,0.45219984,-0.071310585,-0.41199117,-0.12517425,-1.4977145,-0.9163153,0.163066,0.63737661,0.039165348,0.37666327,0.05253278,-0.14983793,-1.3673088,-0.76721001,-0.23939578
2.0,2.4986638,-0.068001924,-0.18618687,1.6172797,0.58607867,1.8314329,2.4928215,-0.83789751,1.3925536,0.088111431,0.084780604,-0.95813601,-1.0995291,-0.44967135,0.17100744,-0.22198562,0.39836037,-0.62456777,-0.21874865,-2.4156966,0.17912399,-0.35432983,0.67499531,-1.3650556,2.2501115,-0.67294838,0.055320399,0.85051098,-0.49127864,1.0307762,1.7087872,1.0773112,-0.71891731,-0.25713385,-0.34025168,0.98613249,-0.52918908,-0.51142068,0.091371465,1.573452
2.0,-0.87620783,-1.8306189,0.5461207,2.2107065,-0.59824112,-0.85067159,-0.44045443,0.65650745,-0.0052438424,0.065476775,0.42820837,0.21426757,0.71028758,0.75417546,1.043804,0.16504141,-0.11536574,0.053082567,-1.0238598,-1.2425476,-0.017677591,0.68456191,-0.96851957,-1.0725348,0.10903089,1.2032136,-1.1683378,0.70501196,-0.59811057,-0.76491754,-1.1291382,-1.8642158,-1.1984132,-0.30615596,-1.3148923,0.31943789,1.3578457,0.36479381,-1.836079,-0.045025117
2.0,-1.3146385,1.5979294,0.30593613,-0.26444202,-0.074432882,0.49852001,0.10738065,1.6849672,1.2554659,0.35515582,-1.4756445,0.60112947,0.052117535,-0.040401998,-0.87129494,1.3360542,0.74519389,-1.1911544,0.74260606,0.92441536,-0.84297777,0.82685902,0.47035049,-0.67232188,2.7392173,0.11598511,0.15021093,-1.8543318,0.25153614,-1.4986152,-0.35443462,1.4337552,0.23623235,-0.67947922,-0.47070022,0.93933938,-0.55418411,-0.85201446,0.11595077,0.37515558
2.0,-0.44442468,0.36773881,2.0061012,-0.13753494,-0.47276125,-0.58912738,-0.81598374,-0.30506102,0.89313726,-0.44809254,-1.4712149,-1.1278397,0.28929346,0.52310994,-1.115301,-0.085313342,-0.0054209918,0.84800708,0.52381322,-0.52864414,0.17961926,2.2177609,-0.65992689,0.27619943,0.46872409,-0.076150223,2.1653592,0.3254516,-1.4599587,-0.037745616,0.17484613,-0.36449756,2.150101,-0.85604922,-0.82112695,-1.1566489,0.31670714,-0.3911929,1.0914096,1.7110316
2.0,1.9572264,0.82800607,1.2340772,-0.48191197,-0.6137098,-0.82627014,0.88231299,-0.061225036,0.024954322,-0.12357463,-0.67646075,0.97812459,-1.966128,0.7448762,-1.6371075,-0.53402378,1.9513045,0.036573324,-0.59779479,0.77397459,2.1213244,-0.95794256,0.80291126,-0.099381408,0.72999222,-0.92592355,-1.211247,-0.95082402,1.7792081,-0.86149578,-0.077305722,0.6907163,0.18350714,0.14150076,-0.63743907,0.24127617,0.91709294,0.15709792,0.5682549,-0.70775928
2.0,-0.052467427,-0.68438906,-1.307373,-0.63151222,-0.74878109,-0.1694095,0.4562434,0.3137371,1.7714242,1.300384,-1.6090802,-0.68499465,-1.8769067,1.414354,1.2675969,0.20822976,-0.049582952,1.0763445,0.16151331,-1.3031111,1.6240226,-0.48073818,-0.29676868,0.004903905,-0.11053612,0.30632546,0.18912291,1.0508296,0.46807445,-0.82219157,-0.05942299,-1.0589213,0.30934364,-0.39640943,-0.45459136,1.2486231,-0.97088107,-1.2899514,0.75720458,1.6346505
2.0,0.016116125,1.0289457,0.1409624,-0.53150202,-0.30949649,-0.89071165,0.52037414,-1.3737086,-0.69374675,-0.78560598,-0.52107101,0.88881935,-1.162829,0.015692441,0.49132149,-1.8622781,-0.80087072,0.85326194,0.33324447,-1.3067725,0.08263528,0.63943954,-1.9676679,-0.15385522,-0.10528777,-1.1377151,-0.58422553,-2.7198698,-0.29675516,0.88228116,-1.2720854,0.79018881,0.78989326,-0.1767596,-0.29654765,-0.77082984,-0.3516526,-0.86792745,-0.4001029,-0.50630568
2.0,-0.34466866,1.2140755,0.032512774,2.2680649,-0.26937595,-0.02829225,0.33802165,-0.40594622,0.1699222,0.14452135,-0.45577475,-0.097300956,0.83270897,-0.81223664,-1.9827398,1.3274297,0.72527276,-0.19285782,0.2850585,0.75280085,1.225633,-1.6005778,-0.96758401,1.3070065,-0.84999885,0.83317898,1.8140688,-0.91088035,0.57026155,-0.74279446,0.81224988,-0.41649662,0.3520894,-1.1613024,-1.3551899,0.79638631,-0.68224285,-1.637999,-1.2474548,-2.1328009
2.0,-1.8606604,-0.66641336,0.77661484,2.3577395,-0.084692049,-0.20857843,0.86276432,1.284811,-0.48012257,-1.1515128,0.39943414,-1.9863099,0.14846098,0.78417244,0.98514101,1.1932314,2.2813548,1.8923747,0.45351273,-0.064210531,-3.2718862,-0.67364948,-0.1003781,-0.65844003,-0.14101343,1.2638628,-0.47487705,1.7631595,-1.8300713,1.6775236,0.43339887,0.41815162,0.32116171,-0.61562011,0.56856329,-0.96911168,-0.40799974,-0.87130136,0.83406813,-0.91841552
